nomi,yil,janr,reyting,distribyutor,byudjet,ichki_daromad,jahon_daromadi
Evan Almighty,2007,Comedy,PG,Universal,175000000.0,100289690.0,174131329.0
King Arthur: Legend of the Sword,2017,Adventure,PG-13,Warner Bros.,175000000.0,39175066.0,139950708.0
47 Ronin,2013,Action,PG-13,Universal,175000000.0,38362475.0,151716815.0
Jurassic World: Fallen Kingdom,2018,Action,PG-13,Universal,170000000.0,416769345.0,1304866322.0
Guardians of the Galaxy,2014,Action,PG-13,Walt Disney,170000000.0,333172112.0,771051335.0
Iron Man 2,2010,Action,PG-13,Paramount Pictures,170000000.0,312433331.0,621156389.0
Captain America: The Winter Soldier,2014,Action,PG-13,Walt Disney,170000000.0,259746958.0,714401889.0
Dawn of the Planet of the Apes,2014,Adventure,PG-13,20th Century Fox,170000000.0,208545589.0,710644566.0
The Polar Express,2004,Adventure,G,Warner Bros.,170000000.0,186493587.0,310634169.0
Snow White and the Huntsman,2012,Adventure,PG-13,Universal,170000000.0,155136755.0,401021746.0
Terminator 3: Rise of the Machines,2003,Action,R,Warner Bros.,170000000.0,150358296.0,433058296.0
Van Helsing,2004,Action,PG-13,Universal,170000000.0,120150546.0,300150546.0
Tomorrowland,2015,Adventure,PG,Walt Disney,170000000.0,93436322.0,207283457.0
Alice Through the Looking Glass,2016,Adventure,PG,Walt Disney,170000000.0,77042381.0,276934087.0
Shrek Forever After,2010,Adventure,PG,Paramount Pictures,165000000.0,238736787.0,756244673.0
Doctor Strange,2016,Action,PG-13,Walt Disney,165000000.0,232641920.0,676486457.0
Big Hero 6,2014,Adventure,PG,Walt Disney,165000000.0,222527828.0,652127828.0
How to Train Your Dragon,2010,Adventure,PG,Paramount Pictures,165000000.0,217581232.0,494870992.0
Wreck-It Ralph,2012,Adventure,PG,Walt Disney,165000000.0,189412677.0,496511521.0
Interstellar,2014,Adventure,PG-13,Paramount Pictures,165000000.0,188017894.0,667752422.0
Independence Day: Resurgence,2016,Action,PG-13,20th Century Fox,165000000.0,103144286.0,384413934.0
Cowboys and Aliens,2011,Action,PG-13,Universal,163000000.0,100368560.0,176038324.0
Shrek the Third,2007,Adventure,PG,Paramount Pictures,160000000.0,322719944.0,807330936.0
Fast and Furious 6,2013,Action,PG-13,Universal,160000000.0,238679850.0,789300444.0
X-Men: First Class,2011,Action,PG-13,20th Century Fox,160000000.0,146408305.0,355408305.0
The Curious Case of Benjamin Button,2008,Drama,PG-13,Paramount Pictures,160000000.0,127509326.0,329631958.0
The Sorcerer's Apprentice,2010,Adventure,PG,Walt Disney,160000000.0,63150991.0,217986320.0
Poseidon,2006,Adventure,PG-13,Warner Bros.,160000000.0,60674817.0,181674817.0
Warcraft,2016,Action,PG-13,Universal,160000000.0,47225655.0,425547111.0
Aquaman,2018,Action,PG-13,Warner Bros.,160000000.0,0.0,0.0
Deepwater Horizon,2016,Drama,PG-13,Lionsgate,156000000.0,61433527.0,122631306.0
Terminator: Genisys,2015,Action,PG-13,Paramount Pictures,155000000.0,89760956.0,432150894.0
Pacific Rim: Uprising,2018,Action,PG-13,Universal,155000000.0,59185715.0,290241338.0
Alexander,2004,Action,R,Warner Bros.,155000000.0,34297191.0,167297191.0
War for the Planet of the Apes,2017,Action,PG-13,20th Century Fox,152000000.0,146880162.0,489592267.0
Pearl Harbor,2001,Action,PG-13,Walt Disney,151500000.0,198539855.0,449239855.0
Transformers,2007,Action,PG-13,Paramount Pictures,151000000.0,319246193.0,708272592.0
Wonder Woman,2017,Action,PG-13,Warner Bros.,150000000.0,412563408.0,821133378.0
Zootopia,2016,Adventure,PG,Walt Disney,150000000.0,341268248.0,1019706594.0
Harry Potter and the Goblet of Fire,2005,Adventure,PG-13,Warner Bros.,150000000.0,290013036.0,896911078.0
The Matrix Reloaded,2003,Action,R,Warner Bros.,150000000.0,281553689.0,738576929.0
I am Legend,2007,Horror,PG-13,Warner Bros.,150000000.0,256393010.0,585532684.0
Hancock,2008,Action,PG-13,Sony Pictures,150000000.0,227946274.0,624234272.0
Charlie and the Chocolate Factory,2005,Adventure,PG,Warner Bros.,150000000.0,206459076.0,475825484.0
Ratatouille,2007,Adventure,G,Walt Disney,150000000.0,206445654.0,626549695.0
Thor: The Dark World,2013,Action,PG-13,Walt Disney,150000000.0,206362140.0,644602516.0
Batman Begins,2005,Action,PG-13,Warner Bros.,150000000.0,205343774.0,359142722.0
Mission: Impossible—Rogue Nation,2015,Action,PG-13,Paramount Pictures,150000000.0,195042377.0,689388363.0
Dunkirk,2017,Action,PG-13,Warner Bros.,150000000.0,190068280.0,499900860.0
Thor,2011,Action,PG-13,Paramount Pictures,150000000.0,181030624.0,449326618.0
Madagascar: Escape 2 Africa,2008,Adventure,PG,Paramount Pictures,150000000.0,180174880.0,599680774.0
X-Men Origins: Wolverine,2009,Action,PG-13,20th Century Fox,150000000.0,179883157.0,374825760.0
Kung Fu Panda 2,2011,Adventure,PG,Paramount Pictures,150000000.0,165249063.0,664837547.0
Mad Max: Fury Road,2015,Action,R,Warner Bros.,150000000.0,153636354.0,370651733.0
The Meg,2018,Action,PG-13,Warner Bros.,150000000.0,142700791.0,527100791.0
The Matrix Revolutions,2003,Action,R,Warner Bros.,150000000.0,139270910.0,427300260.0
Ready Player One,2018,Adventure,PG-13,Warner Bros.,150000000.0,137018455.0,578621729.0
Mission: Impossible III,2006,Action,PG-13,Paramount Pictures,150000000.0,133501348.0,397501348.0
Troy,2004,Action,R,Warner Bros.,150000000.0,133298577.0,484161265.0
The Last Airbender,2010,Adventure,PG,Paramount Pictures,150000000.0,131772187.0,319713881.0
Bee Movie,2007,Adventure,PG,Paramount Pictures,150000000.0,126631277.0,287594577.0
G-Force,2009,Adventure,PG,Walt Disney,150000000.0,119436770.0,292817841.0
Bolt,2008,Adventure,PG,Walt Disney,150000000.0,114053579.0,328015029.0
Wrath of the Titans,2012,Adventure,PG-13,Warner Bros.,150000000.0,83670083.0,305270083.0
Beowulf,2007,Adventure,PG-13,Paramount Pictures,150000000.0,82280579.0,195080579.0
The Wolfman,2010,Horror,R,Universal,150000000.0,62189884.0,142634358.0
The Great Wall,2017,Action,PG-13,Universal,150000000.0,45157105.0,334550106.0
Pan,2015,Adventure,PG,Warner Bros.,150000000.0,35088320.0,151543635.0
Mars Needs Moms,2011,Adventure,PG,Walt Disney,150000000.0,21392758.0,39549758.0
Flushed Away,2006,Adventure,PG,Paramount Pictures,149000000.0,64665672.0,179357126.0
Madagascar 3: Europe's Most Wanted,2012,Adventure,PG,Paramount Pictures,145000000.0,216391482.0,746921271.0
How to Train Your Dragon 2,2014,Adventure,PG,20th Century Fox,145000000.0,177002924.0,614586270.0
Mr. Peabody & Sherman,2014,Adventure,PG,20th Century Fox,145000000.0,111506430.0,269806430.0
Rise of the Guardians,2012,Adventure,PG,Paramount Pictures,145000000.0,103412758.0,306900902.0
Die Another Day,2002,Action,PG-13,MGM,142000000.0,160942139.0,431942139.0
Star Trek,2009,Adventure,PG-13,Paramount Pictures,140000000.0,257730019.0,385680446.0
Men in Black 2,2002,Action,PG-13,Sony Pictures,140000000.0,190418803.0,441767803.0
Captain America: The First Avenger,2011,Action,PG-13,Paramount Pictures,140000000.0,176654505.0,370569776.0
Kung Fu Panda 3,2016,Adventure,PG,20th Century Fox,140000000.0,143528619.0,518418751.0
G.I. Joe: Retaliation,2013,Action,PG-13,Paramount Pictures,140000000.0,122523060.0,375740705.0
The Last Samurai,2003,Action,R,Warner Bros.,140000000.0,111110575.0,456810575.0
Fun With Dick And Jane,2005,Comedy,PG-13,Sony Pictures,140000000.0,110550000.0,203018919.0
Exodus: Gods and Kings,2014,Drama,PG-13,20th Century Fox,140000000.0,65014513.0,268314513.0
The BFG,2016,Adventure,PG,Walt Disney,140000000.0,55483770.0,199676255.0
Gods of Egypt,2016,Adventure,PG-13,Lionsgate,140000000.0,31153464.0,138587563.0
Spider-Man,2002,Adventure,PG-13,Sony Pictures,139000000.0,403706375.0,821706375.0
Watchmen,2009,Action,R,Warner Bros.,138000000.0,107509799.0,186976250.0
Stealth,2005,Action,PG-13,Sony Pictures,138000000.0,32116746.0,76416746.0
The Incredible Hulk,2008,Adventure,PG-13,Universal,137500000.0,134806913.0,265573859.0
Hulk,2003,Action,PG-13,Universal,137000000.0,132177234.0,245075434.0
Final Fantasy: The Spirits Within,2001,Adventure,PG-13,Sony Pictures,137000000.0,32131830.0,85131830.0
The Croods,2013,Adventure,PG,20th Century Fox,135000000.0,187168425.0,573068425.0
The Revenant,2015,Adventure,R,20th Century Fox,135000000.0,183637894.0,532950503.0
Rango,2011,Adventure,PG,Paramount Pictures,135000000.0,123477607.0,245724600.0
Turbo,2013,Adventure,PG,20th Century Fox,135000000.0,83028130.0,286896578.0
Happy Feet Two,2011,Adventure,PG,Warner Bros.,135000000.0,64006466.0,157956466.0
Miami Vice,2006,Action,R,Universal,135000000.0,63478838.0,163818556.0
War of the Worlds,2005,Action,PG-13,Paramount Pictures,132000000.0,234280354.0,606836535.0
Penguins of Madagascar,2014,Adventure,PG,20th Century Fox,132000000.0,83350911.0,367650911.0
The Hunger Games: Catching Fire,2013,Adventure,PG-13,Lionsgate,130000000.0,424668047.0,864868047.0
Ant-Man and the Wasp,2018,Action,PG-13,Walt Disney,130000000.0,216565229.0,617176819.0
Kung Fu Panda,2008,Adventure,PG,Paramount Pictures,130000000.0,215434591.0,631910531.0
Ant-Man,2015,Action,PG-13,Walt Disney,130000000.0,180202163.0,518860086.0
Home,2015,Adventure,PG,20th Century Fox,130000000.0,177397510.0,386031994.0
Puss in Boots,2011,Adventure,PG,Paramount Pictures,130000000.0,149260504.0,554987477.0
Megamind,2010,Adventure,PG,Paramount Pictures,130000000.0,148415853.0,321887208.0
Bad Boys II,2003,Action,R,Sony Pictures,130000000.0,138540870.0,273271982.0
Rio 2,2014,Adventure,G,20th Century Fox,130000000.0,131538435.0,492846291.0
Noah,2014,Drama,PG-13,Paramount Pictures,130000000.0,101200044.0,352831065.0
The Adventures of Tintin,2011,Adventure,PG,Paramount Pictures,130000000.0,77591831.0,373993951.0
After Earth,2013,Action,PG-13,Sony Pictures,130000000.0,60522097.0,251499665.0
Australia,2008,Drama,PG-13,20th Century Fox,130000000.0,49554002.0,215080810.0
R.I.P.D.,2013,Action,PG-13,Universal,130000000.0,33618855.0,79076678.0
Dinosaur,2000,Adventure,PG,Walt Disney,127500000.0,137748063.0,356148063.0
Logan,2017,Action,R,20th Century Fox,127000000.0,226277068.0,615476965.0
X-Men 2,2003,Action,PG-13,20th Century Fox,125000000.0,214949694.0,406875536.0
Fast Five,2011,Action,PG-13,Universal,125000000.0,210031325.0,630163454.0
Sherlock Holmes: A Game of Shadows,2011,Action,PG-13,Warner Bros.,125000000.0,186848418.0,535663443.0
The Day After Tomorrow,2004,Adventure,PG-13,20th Century Fox,125000000.0,186740799.0,556319450.0
The Boss Baby,2017,Adventure,PG,20th Century Fox,125000000.0,175003033.0,510888357.0
Clash of the Titans,2010,Action,PG-13,Warner Bros.,125000000.0,163214888.0,493214888.0
Trolls,2016,Adventure,PG,20th Century Fox,125000000.0,153707064.0,344527425.0
Prometheus,2012,Adventure,R,20th Century Fox,125000000.0,126477084.0,402448265.0
Skyscraper,2018,Action,PG,Universal,125000000.0,67796355.0,304034615.0
Assassin’s Creed,2016,Action,PG-13,20th Century Fox,125000000.0,54647948.0,240497948.0
Monster Trucks,2017,Adventure,PG-13,Paramount Pictures,125000000.0,33370166.0,61642798.0
How the Grinch Stole Christmas,2000,Adventure,PG,Universal,123000000.0,260044825.0,345141403.0
Mission: Impossible 2,2000,Action,PG-13,Paramount Pictures,120000000.0,215409889.0,549588516.0
The Perfect Storm,2000,Drama,PG-13,Warner Bros.,120000000.0,182618434.0,328711434.0
Jason Bourne,2016,Action,PG-13,Universal,120000000.0,162192920.0,416197059.0
Life of Pi,2012,Drama,PG,20th Century Fox,120000000.0,124987022.0,607258634.0
Ghost Rider,2007,Action,PG-13,Sony Pictures,120000000.0,115802596.0,229545589.0
Charlie's Angels: Full Throttle,2003,Action,PG-13,Sony Pictures,120000000.0,100814328.0,227200000.0
Rampage,2018,Action,PG-13,Warner Bros.,120000000.0,99345950.0,424745950.0
Elysium,2013,Action,R,Sony Pictures,120000000.0,93050117.0,286192091.0
Power Rangers,2017,Action,PG-13,Lionsgate,120000000.0,85364450.0,142545357.0
Stuart Little 2,2002,Adventure,PG,Sony Pictures,120000000.0,64956806.0,166000000.0
The Chronicles of Riddick,2004,Adventure,PG-13,Universal,120000000.0,57712751.0,107212751.0
Speed Racer,2008,Action,PG,Warner Bros.,120000000.0,43945766.0,93394462.0
The Island,2005,Action,PG-13,Dreamworks SKG,120000000.0,35818913.0,163018913.0
Knight and Day,2010,Action,PG-13,20th Century Fox,117000000.0,76423035.0,258751370.0
"Monsters, Inc.",2001,Adventure,G,Walt Disney,115000000.0,289423425.0,559757719.0
The Wolverine,2013,Action,PG-13,20th Century Fox,115000000.0,132556852.0,416456852.0
The Huntsman: Winter’s War,2016,Action,PG-13,Universal,115000000.0,48003015.0,165149302.0
Windtalkers,2002,Action,R,MGM,115000000.0,40914068.0,77628265.0
Gulliver's Travels,2010,Adventure,PG,20th Century Fox,112000000.0,42779261.0,232017848.0
Ferdinand,2017,Adventure,PG,20th Century Fox,111000000.0,84410380.0,289867087.0
Deadpool 2,2018,Action,R,20th Century Fox,110000000.0,318491426.0,733809601.0
Night at the Museum,2006,Adventure,PG,20th Century Fox,110000000.0,250863268.0,579446407.0
Mr. and Mrs. Smith,2005,Action,PG-13,20th Century Fox,110000000.0,186336279.0,486124090.0
San Andreas,2015,Adventure,PG-13,Warner Bros.,110000000.0,155190832.0,457199280.0
The Smurfs,2011,Adventure,PG,Sony Pictures,110000000.0,142614158.0,563749323.0
Live Free or Die Hard,2007,Action,PG-13,20th Century Fox,110000000.0,134529403.0,382288147.0
The Divergent Series: Insurgent,2015,Action,PG-13,Lionsgate,110000000.0,130179072.0,295075882.0
Ocean's Twelve,2004,Adventure,PG-13,Warner Bros.,110000000.0,125531634.0,362989076.0
The Patriot,2000,Drama,R,Sony Pictures,110000000.0,113330342.0,215300000.0
300: Rise of an Empire,2014,Action,R,Warner Bros.,110000000.0,106580051.0,330780051.0
The Green Hornet,2011,Action,PG-13,Sony Pictures,110000000.0,98780042.0,229155503.0
Real Steel,2011,Action,PG-13,Walt Disney,110000000.0,85463309.0,263880341.0
The A-Team,2010,Action,PG-13,20th Century Fox,110000000.0,77222099.0,177241171.0
The Smurfs 2,2013,Adventure,PG,Sony Pictures,110000000.0,71017784.0,348547523.0
The Divergent Series: Allegiant,2016,Action,PG-13,Lionsgate,110000000.0,66184051.0,171871661.0
The Taking of Pelham 123,2009,Action,R,Sony Pictures,110000000.0,65452312.0,152364370.0
Ender's Game,2013,Adventure,PG-13,Lionsgate,110000000.0,61737191.0,127983283.0
Home on the Range,2004,Adventure,PG,Walt Disney,110000000.0,50026353.0,76482461.0
Kingdom of Heaven,2005,Adventure,R,20th Century Fox,110000000.0,47398413.0,218853353.0
Ghost in the Shell,2017,Action,PG-13,Paramount Pictures,110000000.0,40563557.0,167918847.0
The Cat in the Hat,2003,Adventure,PG,Universal,109000000.0,101018283.0,133818283.0
Ali,2001,Drama,R,Sony Pictures,109000000.0,58183966.0,87683966.0
Allied,2016,Drama,R,Paramount Pictures,106000000.0,40098064.0,119285656.0
"I, Robot",2004,Action,PG-13,20th Century Fox,105000000.0,144801023.0,348629585.0
The Princess and the Frog,2009,Adventure,G,Walt Disney,105000000.0,104400899.0,270997378.0
"10,000 B.C.",2008,Adventure,PG-13,Warner Bros.,105000000.0,94784201.0,269065678.0
Ice Age: Collision Course,2016,Adventure,PG,20th Century Fox,105000000.0,64063008.0,403092412.0
Kingsman: The Golden Circle,2017,Action,R,20th Century Fox,104000000.0,100234838.0,408822328.0
Gone in 60 Seconds,2000,Action,PG-13,Walt Disney,103300000.0,101643008.0,232643008.0
The Hangover 3,2013,Comedy,R,Warner Bros.,103000000.0,112200072.0,362000072.0
A Wrinkle in Time,2018,Adventure,PG,Walt Disney,103000000.0,100478608.0,133401882.0
Public Enemies,2009,Drama,R,Universal,102500000.0,97104620.0,212282709.0
Casino Royale,2006,Action,PG-13,Sony Pictures,102000000.0,167365000.0,594420283.0
Minority Report,2002,Action,PG-13,20th Century Fox,102000000.0,132024714.0,358824714.0
Cloud Atlas,2012,Drama,R,Warner Bros.,102000000.0,27108272.0,130673154.0
Planet of the Apes,2001,Adventure,PG-13,20th Century Fox,100000000.0,180011740.0,362211740.0
National Treasure,2004,Adventure,PG,Walt Disney,100000000.0,173005002.0,331323410.0
Venom,2018,Action,PG-13,Sony Pictures,100000000.0,171125095.0,461825095.0
Little Fockers,2010,Comedy,PG-13,Universal,100000000.0,148438600.0,310650574.0
American Gangster,2007,Drama,R,Universal,100000000.0,130164645.0,267985456.0
Cloudy with a Chance of Meatballs,2009,Adventure,PG,Sony Pictures,100000000.0,124870275.0,236827677.0
The Other Guys,2010,Comedy,PG-13,Sony Pictures,100000000.0,119219978.0,170936470.0
Epic,2013,Adventure,PG,20th Century Fox,100000000.0,107518682.0,262794441.0
The Emperor's New Groove,2000,Adventure,G,Walt Disney,100000000.0,89296573.0,169296573.0
The Expendables 2,2012,Action,R,Lionsgate,100000000.0,85028192.0,311979256.0
Where the Wild Things Are,2009,Adventure,PG,Warner Bros.,100000000.0,77233467.0,99123656.0
Eragon,2006,Adventure,PG,20th Century Fox,100000000.0,75030163.0,249488115.0
Hercules,2014,Action,PG-13,Paramount Pictures,100000000.0,72688614.0,243388614.0
The Stepford Wives,2004,Comedy,PG-13,Paramount Pictures,100000000.0,59475623.0,96221971.0
Surf's Up,2007,Adventure,PG,Sony Pictures,100000000.0,58867694.0,145395745.0
Blood Diamond,2006,Action,R,Warner Bros.,100000000.0,57377916.0,171377916.0
Land of the Lost,2009,Comedy,PG-13,Universal,100000000.0,49438370.0,69548641.0
Catwoman,2004,Action,PG-13,Warner Bros.,100000000.0,40202379.0,82145379.0
The Expendables 3,2014,Action,PG-13,Lionsgate,100000000.0,39322544.0,209461378.0
Treasure Planet,2002,Adventure,PG,Walt Disney,100000000.0,38120554.0,91800000.0
Green Zone,2010,Drama,R,Universal,100000000.0,35497337.0,97523020.0
Geostorm,2017,Action,PG-13,Warner Bros.,100000000.0,33700160.0,220800160.0
In the Heart of the Sea,2015,Adventure,PG-13,Warner Bros.,100000000.0,25020758.0,89693309.0
Son of the Mask,2005,Adventure,PG,New Line,100000000.0,17018422.0,59918422.0
The Adventures of Pluto Nash,2002,Comedy,PG-13,Warner Bros.,100000000.0,4411102.0,7094995.0
Jin líng shí san chai,2012,Drama,R,Wrekin Hill Enterta…,100000000.0,311434.0,98227017.0
The Peanuts Movie,2015,Adventure,G,20th Century Fox,99000000.0,130178411.0,250091610.0
The Mummy Returns,2001,Adventure,PG-13,Universal,98000000.0,202007640.0,435040395.0
Gangs of New York,2002,Drama,R,Miramax,97000000.0,77730500.0,183124621.0
Alien: Covenant,2017,Horror,R,20th Century Fox,97000000.0,74262031.0,238521247.0
Cinderella,2015,Drama,PG,Walt Disney,95000000.0,201151353.0,534551353.0
Ice Age: Continental Drift,2012,Adventure,PG,20th Century Fox,95000000.0,161321843.0,879765137.0
Black Hawk Down,2001,Action,R,Sony Pictures,95000000.0,108638745.0,159691085.0
Sex and the City 2,2010,Comedy,R,Warner Bros.,95000000.0,95347692.0,294680778.0
The Campaign,2012,Comedy,R,Warner Bros.,95000000.0,86907746.0,104907746.0
Unstoppable,2010,Action,PG-13,20th Century Fox,95000000.0,81562942.0,165720921.0
The Road to El Dorado,2000,Adventure,PG,Dreamworks SKG,95000000.0,50802661.0,65700000.0
The Lovely Bones,2009,Drama,PG-13,Paramount Pictures,95000000.0,44114232.0,94894448.0
Seventh Son,2015,Adventure,PG-13,Universal,95000000.0,17725785.0,109485785.0
Finding Nemo,2003,Adventure,G,Walt Disney,94000000.0,380529370.0,936429370.0
Lara Croft: Tomb Raider,2001,Adventure,PG-13,Paramount Pictures,94000000.0,131144183.0,273330185.0
Kingsman: The Secret Service,2015,Action,R,20th Century Fox,94000000.0,128261724.0,404561724.0
Jurassic Park III,2001,Action,PG-13,Universal,93000000.0,181166115.0,365900000.0
Rise of the Planet of the Apes,2011,Adventure,PG-13,20th Century Fox,93000000.0,176760185.0,482860185.0
The Spiderwick Chronicles,2008,Adventure,PG,Paramount Pictures,92500000.0,71195053.0,162839667.0
The Incredibles,2004,Adventure,PG,Walt Disney,92000000.0,261441092.0,614726752.0
A Good Day to Die Hard,2013,Action,R,20th Century Fox,92000000.0,67349198.0,304249198.0
The Secret Life of Walter Mitty,2013,Adventure,PG,20th Century Fox,91000000.0,58236838.0,187861183.0
Jumanji: Welcome to the Jungle,2017,Adventure,PG-13,Sony Pictures,90000000.0,404508916.0,961758540.0
Rush Hour 2,2001,Action,PG-13,New Line,90000000.0,226164286.0,347425832.0
Sherlock Holmes,2009,Adventure,PG-13,Warner Bros.,90000000.0,209028679.0,498438212.0
Ice Age: Dawn of the Dinosaurs,2009,Adventure,PG,20th Century Fox,90000000.0,196573705.0,859701857.0
Rio,2011,Adventure,G,20th Century Fox,90000000.0,143619809.0,487519809.0
The Departed,2006,Drama,R,Warner Bros.,90000000.0,132384315.0,289660619.0
Charlie's Angels,2000,Action,PG-13,Sony Pictures,90000000.0,125305545.0,259736090.0
Tropic Thunder,2008,Comedy,R,Paramount Pictures,90000000.0,110515313.0,191145256.0
You Don't Mess With the Zohan,2008,Comedy,PG-13,Sony Pictures,90000000.0,100018837.0,202910991.0
Atlantis: The Lost Empire,2001,Adventure,PG,Walt Disney,90000000.0,84052762.0,186049020.0
Pixels,2015,Adventure,PG-13,Sony Pictures,90000000.0,78765986.0,244041804.0
Artificial Intelligence: AI,2001,Drama,PG-13,Warner Bros.,90000000.0,78616689.0,235900000.0
The Haunted Mansion,2003,Adventure,PG,Walt Disney,90000000.0,75817994.0,155750628.0
Hollow Man,2000,Horror,R,Sony Pictures,90000000.0,73209340.0,191200000.0
Percy Jackson: Sea of Monsters,2013,Adventure,PG,20th Century Fox,90000000.0,68559554.0,200859554.0
Spy Game,2001,Action,R,Universal,90000000.0,62362560.0,143049560.0
Mission to Mars,2000,Adventure,PG,Walt Disney,90000000.0,60874615.0,106000000.0
Tomb Raider,2018,Action,PG-13,Warner Bros.,90000000.0,57421715.0,272648985.0
King Arthur,2004,Adventure,PG-13,Walt Disney,90000000.0,51877963.0,203877963.0
K-19: The Widowmaker,2002,Action,PG-13,Paramount Pictures,90000000.0,35168966.0,65716126.0
The Promise,2017,Drama,PG-13,Open Road,90000000.0,8224288.0,10551417.0
Cinderella Man,2005,Drama,PG-13,Universal,88000000.0,61649911.0,105021488.0
The Predator,2018,Action,R,20th Century Fox,88000000.0,50787159.0,127987159.0
Fantastic Four,2005,Action,PG-13,20th Century Fox,87500000.0,154696080.0,333132750.0
Hannibal,2001,Horror,R,MGM,87000000.0,165092266.0,350100280.0
Seabiscuit,2003,Drama,PG-13,Universal,86000000.0,120277854.0,148715342.0
Cast Away,2000,Drama,PG-13,20th Century Fox,85000000.0,233632142.0,427230516.0
Happy Feet,2006,Adventure,PG,Warner Bros.,85000000.0,198000317.0,385000317.0
Fast & Furious,2009,Action,PG-13,Universal,85000000.0,155064265.0,363064265.0
Horton Hears a Who,2008,Adventure,G,20th Century Fox,85000000.0,154529439.0,299477886.0
Divergent,2014,Adventure,PG-13,Lionsgate,85000000.0,150947895.0,276014965.0
Hotel Transylvania,2012,Adventure,PG,Sony Pictures,85000000.0,148313048.0,378505812.0
I Now Pronounce You Chuck and Larry,2007,Comedy,PG-13,Universal,85000000.0,119725280.0,185708462.0
Ocean's Thirteen,2007,Adventure,PG-13,Warner Bros.,85000000.0,117144465.0,311744465.0
Open Season,2006,Adventure,PG,Sony Pictures,85000000.0,85105259.0,191932158.0
Tower Heist,2011,Comedy,PG-13,Universal,85000000.0,78046570.0,150422946.0
102 Dalmatians,2000,Adventure,G,Walt Disney,85000000.0,66941559.0,66941559.0
Mirror Mirror,2012,Adventure,PG,Relativity,85000000.0,64935167.0,173613482.0
Memoirs of a Geisha,2005,Drama,PG-13,Sony Pictures,85000000.0,57010853.0,161510853.0
Enemy at the Gates,2001,Drama,R,Paramount Pictures,85000000.0,51396781.0,96971293.0
The Rundown,2003,Action,PG-13,Universal,85000000.0,47641743.0,80831893.0
Arthur Christmas,2011,Adventure,PG,Sony Pictures,85000000.0,46462469.0,149717124.0
xXx: Return of Xander Cage,2017,Action,PG-13,Paramount Pictures,85000000.0,44898413.0,345044476.0
Collateral Damage,2002,Action,R,Warner Bros.,85000000.0,40048332.0,78353508.0
Showtime,2002,Comedy,PG-13,Warner Bros.,85000000.0,37948765.0,78948765.0
Scott Pilgrim vs. The World,2010,Comedy,PG-13,Universal,85000000.0,31611316.0,48056764.0
The Core,2003,Action,PG-13,Paramount Pictures,85000000.0,31111260.0,74132631.0
Scooby-Doo,2002,Adventure,PG,Warner Bros.,84000000.0,153294164.0,276294164.0
Nutty Professor II: The Klumps,2000,Comedy,PG-13,Universal,84000000.0,123307945.0,166307945.0
RED 2,2013,Action,PG-13,Lionsgate,84000000.0,53262560.0,141507355.0
Click,2006,Comedy,PG-13,Sony Pictures,82500000.0,137355633.0,237685089.0
Charlotte's Web,2006,Drama,G,Paramount Pictures,82500000.0,82985708.0,143985708.0
Jumper,2008,Adventure,PG-13,20th Century Fox,82500000.0,80172128.0,222640812.0
Hellboy II: The Golden Army,2008,Action,PG-13,Universal,82500000.0,75986503.0,160388063.0
The Longest Yard,2005,Comedy,PG-13,Paramount Pictures,82000000.0,158119460.0,191558505.0
The Expendables,2010,Action,R,Lionsgate,82000000.0,103068524.0,268268174.0
The 6th Day,2000,Action,PG-13,Sony Pictures,82000000.0,34543701.0,96024898.0
Bruce Almighty,2003,Comedy,PG-13,Universal,81000000.0,242704995.0,484468608.0
The Hangover Part II,2011,Comedy,R,Warner Bros.,80000000.0,254464305.0,586464305.0
The Lego Batman Movie,2017,Adventure,PG,Warner Bros.,80000000.0,175750384.0,310692896.0
Hotel Transylvania 2,2015,Adventure,PG,Sony Pictures,80000000.0,169700110.0,469500298.0
Over the Hedge,2006,Adventure,PG,Paramount Pictures,80000000.0,155019340.0,343397247.0
Lilo & Stitch,2002,Adventure,PG,Walt Disney,80000000.0,145771527.0,245800000.0
Grown Ups 2,2013,Comedy,PG-13,Sony Pictures,80000000.0,133668525.0,247023808.0
Get Smart,2008,Comedy,PG-13,Warner Bros.,80000000.0,130319208.0,226739416.0
Robots,2005,Adventure,PG,20th Century Fox,80000000.0,128200012.0,260700012.0
Four Christmases,2008,Comedy,PG-13,Warner Bros.,80000000.0,120146040.0,168311558.0
Bedtime Stories,2008,Adventure,PG,Walt Disney,80000000.0,110101975.0,221468935.0
Road to Perdition,2002,Drama,R,Dreamworks SKG,80000000.0,104054514.0,183354514.0
Daredevil,2003,Action,PG-13,20th Century Fox,80000000.0,102543518.0,182782518.0
Yogi Bear,2010,Adventure,PG,Warner Bros.,80000000.0,100246011.0,204774690.0
Cold Mountain,2003,Drama,R,Miramax,80000000.0,95632614.0,165173909.0
The Book of Eli,2010,Action,R,Warner Bros.,80000000.0,94835059.0,158750817.0
Fury,2014,Drama,R,Sony Pictures,80000000.0,85817906.0,210315681.0
The Pink Panther,2006,Adventure,PG,Sony Pictures,80000000.0,82226474.0,158926474.0
The Day the Earth Stood Still,2008,Adventure,PG-13,20th Century Fox,80000000.0,79366978.0,233066978.0
Spirit: Stallion of the Cimarron,2002,Adventure,G,Dreamworks SKG,80000000.0,73215310.0,106515310.0
Swordfish,2001,Action,R,Warner Bros.,80000000.0,69772969.0,147080413.0
